issue_number,country 1,country 2,behalf,support,spokewith,agreement,delay,opposition,criticism,cooperation,sentence
254,G-77/CHINA,EU,0,0,0,0,0,1,0,0,"The EU, supported by the US, CANADA and JAPAN, and opposed by the G-77/CHINA, proposed that the Co-Chairs prepare a new draft decision text."
254,G-77/CHINA,US,0,0,0,0,0,1,0,0,"The EU, supported by the US, CANADA and JAPAN, and opposed by the G-77/CHINA, proposed that the Co-Chairs prepare a new draft decision text."
254,G-77/CHINA,JAPAN,0,0,0,0,0,1,0,0,"The EU, supported by the US, CANADA and JAPAN, and opposed by the G-77/CHINA, proposed that the Co-Chairs prepare a new draft decision text."
254,G-77/CHINA,CANADA,0,0,0,0,0,1,0,0,"The EU, supported by the US, CANADA and JAPAN, and opposed by the G-77/CHINA, proposed that the Co-Chairs prepare a new draft decision text."
254,CANADA,EU,0,1,0,0,0,0,0,1,"The EU, supported by the US, CANADA and JAPAN, and opposed by the G-77/CHINA, proposed that the Co-Chairs prepare a new draft decision text."
254,CANADA,JAPAN,0,0,0,1,0,0,0,1,"The EU, supported by the US, CANADA and JAPAN, and opposed by the G-77/CHINA, proposed that the Co-Chairs prepare a new draft decision text."
254,CANADA,US,0,0,0,1,0,0,0,1,"The EU, supported by the US, CANADA and JAPAN, and opposed by the G-77/CHINA, proposed that the Co-Chairs prepare a new draft decision text."
254,JAPAN,CANADA,0,0,0,1,0,0,0,1,"The EU, supported by the US, CANADA and JAPAN, and opposed by the G-77/CHINA, proposed that the Co-Chairs prepare a new draft decision text."
254,JAPAN,EU,0,1,0,0,0,0,0,1,"The EU, supported by the US, CANADA and JAPAN, and opposed by the G-77/CHINA, proposed that the Co-Chairs prepare a new draft decision text."
254,JAPAN,US,0,0,0,1,0,0,0,1,"The EU, supported by the US, CANADA and JAPAN, and opposed by the G-77/CHINA, proposed that the Co-Chairs prepare a new draft decision text."
254,US,CANADA,0,0,0,1,0,0,0,1,"The EU, supported by the US, CANADA and JAPAN, and opposed by the G-77/CHINA, proposed that the Co-Chairs prepare a new draft decision text."
254,US,EU,0,1,0,0,0,0,0,1,"The EU, supported by the US, CANADA and JAPAN, and opposed by the G-77/CHINA, proposed that the Co-Chairs prepare a new draft decision text."
254,US,JAPAN,0,0,0,1,0,0,0,1,"The EU, supported by the US, CANADA and JAPAN, and opposed by the G-77/CHINA, proposed that the Co-Chairs prepare a new draft decision text."
254,NEW ZEALAND,NORWAY,0,0,0,1,0,0,0,1,"The US, CANADA, JAPAN, NEW ZEALAND, and NORWAY supported this comprehensive approach."
254,NEW ZEALAND,CANADA,0,0,0,1,0,0,0,1,"The US, CANADA, JAPAN, NEW ZEALAND, and NORWAY supported this comprehensive approach."
254,NORWAY,JAPAN,0,0,0,1,0,0,0,1,"The US, CANADA, JAPAN, NEW ZEALAND, and NORWAY supported this comprehensive approach."
254,NORWAY,US,0,0,0,1,0,0,0,1,"The US, CANADA, JAPAN, NEW ZEALAND, and NORWAY supported this comprehensive approach."
254,JAPAN,CANADA,0,0,0,1,0,0,0,1,"The US, CANADA, JAPAN, NEW ZEALAND, and NORWAY supported this comprehensive approach."
254,CANADA,JAPAN,0,0,0,1,0,0,0,1,"The US, CANADA, JAPAN, NEW ZEALAND, and NORWAY supported this comprehensive approach."
254,CANADA,NEW ZEALAND,0,0,0,1,0,0,0,1,"The US, CANADA, JAPAN, NEW ZEALAND, and NORWAY supported this comprehensive approach."
254,NORWAY,NEW ZEALAND,0,0,0,1,0,0,0,1,"The US, CANADA, JAPAN, NEW ZEALAND, and NORWAY supported this comprehensive approach."
254,US,NORWAY,0,0,0,1,0,0,0,1,"The US, CANADA, JAPAN, NEW ZEALAND, and NORWAY supported this comprehensive approach."
254,NEW ZEALAND,JAPAN,0,0,0,1,0,0,0,1,"The US, CANADA, JAPAN, NEW ZEALAND, and NORWAY supported this comprehensive approach."
254,US,JAPAN,0,0,0,1,0,0,0,1,"The US, CANADA, JAPAN, NEW ZEALAND, and NORWAY supported this comprehensive approach."
254,JAPAN,NEW ZEALAND,0,0,0,1,0,0,0,1,"The US, CANADA, JAPAN, NEW ZEALAND, and NORWAY supported this comprehensive approach."
254,JAPAN,US,0,0,0,1,0,0,0,1,"The US, CANADA, JAPAN, NEW ZEALAND, and NORWAY supported this comprehensive approach."
254,US,NEW ZEALAND,0,0,0,1,0,0,0,1,"The US, CANADA, JAPAN, NEW ZEALAND, and NORWAY supported this comprehensive approach."
254,US,CANADA,0,0,0,1,0,0,0,1,"The US, CANADA, JAPAN, NEW ZEALAND, and NORWAY supported this comprehensive approach."
254,CANADA,US,0,0,0,1,0,0,0,1,"The US, CANADA, JAPAN, NEW ZEALAND, and NORWAY supported this comprehensive approach."
254,NORWAY,CANADA,0,0,0,1,0,0,0,1,"The US, CANADA, JAPAN, NEW ZEALAND, and NORWAY supported this comprehensive approach."
254,NEW ZEALAND,US,0,0,0,1,0,0,0,1,"The US, CANADA, JAPAN, NEW ZEALAND, and NORWAY supported this comprehensive approach."
254,CANADA,NORWAY,0,0,0,1,0,0,0,1,"The US, CANADA, JAPAN, NEW ZEALAND, and NORWAY supported this comprehensive approach."
254,JAPAN,NORWAY,0,0,0,1,0,0,0,1,"The US, CANADA, JAPAN, NEW ZEALAND, and NORWAY supported this comprehensive approach."
254,NEW ZEALAND,US,0,1,0,0,0,0,0,1,"The US, supported by NEW ZEALAND, recommended involving practitioners."
254,CANADA,NORWAY,0,0,0,0,0,1,0,0,"The EU, with NORWAY, and opposed by CANADA, requested that SBSTA seek submissions by Parties on specific national HWP data by 1 August 2005."
254,CANADA,EU,0,0,0,0,0,1,0,0,"The EU, with NORWAY, and opposed by CANADA, requested that SBSTA seek submissions by Parties on specific national HWP data by 1 August 2005."
254,NORWAY,EU,0,1,0,0,0,0,0,1,"The EU, with NORWAY, and opposed by CANADA, requested that SBSTA seek submissions by Parties on specific national HWP data by 1 August 2005."
