issue_number,country 1,country 2,behalf,support,spokewith,agreement,delay,opposition,criticism,cooperation,sentence
253,NICARAGUA,CHINA,0,0,0,1,0,0,0,1,"On ways to build adaptive capacity, NICARAGUA pointed to participatory processes that include local communities and technical experts, and CHINA urged mobilization of funds and technology transfer from developed countries."
253,CHINA,NICARAGUA,0,0,0,1,0,0,0,1,"On ways to build adaptive capacity, NICARAGUA pointed to participatory processes that include local communities and technical experts, and CHINA urged mobilization of funds and technology transfer from developed countries."
253,CANADA,EU,0,0,0,1,0,0,0,1,"The EU, CANADA and JAPAN stated that Article 2.3 is sufficiently reflected in decision 5/CP.7."
253,EU,CANADA,0,0,0,1,0,0,0,1,"The EU, CANADA and JAPAN stated that Article 2.3 is sufficiently reflected in decision 5/CP.7."
253,EU,JAPAN,0,0,0,1,0,0,0,1,"The EU, CANADA and JAPAN stated that Article 2.3 is sufficiently reflected in decision 5/CP.7."
253,JAPAN,EU,0,0,0,1,0,0,0,1,"The EU, CANADA and JAPAN stated that Article 2.3 is sufficiently reflected in decision 5/CP.7."
253,CANADA,JAPAN,0,0,0,1,0,0,0,1,"The EU, CANADA and JAPAN stated that Article 2.3 is sufficiently reflected in decision 5/CP.7."
253,JAPAN,CANADA,0,0,0,1,0,0,0,1,"The EU, CANADA and JAPAN stated that Article 2.3 is sufficiently reflected in decision 5/CP.7."
253,EU,SWITZERLAND,0,0,0,1,0,0,0,1,The EU and SWITZERLAND noted the importance of addressing the implications of CDM activities for the achievement of objectives of other multilateral environmental agreements.
253,SWITZERLAND,EU,0,0,0,1,0,0,0,1,The EU and SWITZERLAND noted the importance of addressing the implications of CDM activities for the achievement of objectives of other multilateral environmental agreements.
253,EU,G-77/CHINA,0,0,0,1,0,0,0,1,Co-Chairs Paul Watkinson and Samuel Adejuwon reviewed an amendment from the EU and a draft decision text proposed by the G-77/China.
253,G-77/CHINA,EU,0,0,0,1,0,0,0,1,Co-Chairs Paul Watkinson and Samuel Adejuwon reviewed an amendment from the EU and a draft decision text proposed by the G-77/China.
253,INDIA,EU,0,0,0,0,0,1,0,0,"JAPAN and the EU stressed the need to balance adaptation and mitigation, while INDIA said focus should be on adaptation."
