issue_number,country 1,country 2,behalf,support,spokewith,agreement,delay,opposition,criticism,cooperation,sentence
252,ALGERIA,EGYPT,0,0,0,1,0,0,0,1,EGYPT and ALGERIA urged greater simplification of modalities and procedures.
252,EGYPT,ALGERIA,0,0,0,1,0,0,0,1,EGYPT and ALGERIA urged greater simplification of modalities and procedures.
252,SAUDI ARABIA,US,0,1,0,0,0,0,0,1,"The US, supported by SAUDI ARABIA, said observers should be allowed to physically attend open EB meetings and expressed concern over JI Supervisory Committee and Compliance Committee rules that limit attendance to Parties to the Protocol."
252,CANADA,US,0,1,0,0,0,0,0,1,"The US, supported by CANADA, stated that technology transfer should be considered in the context of Article 4.5 (technology transfer)."
252,PANAMA,MEXICO,0,0,0,1,0,0,0,1,"&gt;PANAMA highlighted a GEF regional adaptation project being implemented in Central America, Mexico and Cuba, which aims to assess current vulnerability to climate hazards through a process involving all stakeholders."
252,MEXICO,CUBA,0,0,0,1,0,0,0,1,"&gt;PANAMA highlighted a GEF regional adaptation project being implemented in Central America, Mexico and Cuba, which aims to assess current vulnerability to climate hazards through a process involving all stakeholders."
252,CUBA,PANAMA,0,0,0,1,0,0,0,1,"&gt;PANAMA highlighted a GEF regional adaptation project being implemented in Central America, Mexico and Cuba, which aims to assess current vulnerability to climate hazards through a process involving all stakeholders."
252,CUBA,MEXICO,0,0,0,1,0,0,0,1,"&gt;PANAMA highlighted a GEF regional adaptation project being implemented in Central America, Mexico and Cuba, which aims to assess current vulnerability to climate hazards through a process involving all stakeholders."
252,MEXICO,PANAMA,0,0,0,1,0,0,0,1,"&gt;PANAMA highlighted a GEF regional adaptation project being implemented in Central America, Mexico and Cuba, which aims to assess current vulnerability to climate hazards through a process involving all stakeholders."
252,PANAMA,CUBA,0,0,0,1,0,0,0,1,"&gt;PANAMA highlighted a GEF regional adaptation project being implemented in Central America, Mexico and Cuba, which aims to assess current vulnerability to climate hazards through a process involving all stakeholders."
252,EU,JAPAN,0,0,0,1,0,0,0,1,JAPAN and the EU urged greater transparency in the EB 92s work.
252,JAPAN,EU,0,0,0,1,0,0,0,1,JAPAN and the EU urged greater transparency in the EB 92s work.
252,JAPAN,SAUDI ARABIA,0,1,0,0,0,0,0,1,"SAUDI ARABIA emphasized the importance of adaptation to the impacts of response measures, and, with JAPAN and others, stressed the value of exchanging information."
252,CANADA,US,0,0,0,1,0,0,0,1,The US and CANADA said parameters from the previous review could be used.
252,US,CANADA,0,0,0,1,0,0,0,1,The US and CANADA said parameters from the previous review could be used.
252,G-77/CHINA,US,0,0,0,1,0,0,0,1,"Delegates discussed the draft decision forwarded from SBI-20, and two submissions, one by the G-77/China and the other by the US, that focus on the timing of financing and completion of second or third non-Annex I national communications."
252,US,G-77/CHINA,0,0,0,1,0,0,0,1,"Delegates discussed the draft decision forwarded from SBI-20, and two submissions, one by the G-77/China and the other by the US, that focus on the timing of financing and completion of second or third non-Annex I national communications."
252,ECUADOR,LATIN AMERICA,0,0,0,1,0,0,0,1,ECUADOR outlined efforts being taken in Latin America and the Caribbean regarding the WCDR.
252,LATIN AMERICA,ECUADOR,0,0,0,1,0,0,0,1,ECUADOR outlined efforts being taken in Latin America and the Caribbean regarding the WCDR.
252,G-77/CHINA,US,0,0,0,1,0,0,0,1,"&gt;In response to the US 92 suggestion that non-Annex I Parties provide regular updates to their greenhouse gas inventories, the G-77/CHINA said that inventories are a 93non-issue 94 in the context of the contact group 92s work as no COP decisions require such updates and therefore the contact group should not address inventories."
252,US,G-77/CHINA,0,0,0,1,0,0,0,1,"&gt;In response to the US 92 suggestion that non-Annex I Parties provide regular updates to their greenhouse gas inventories, the G-77/CHINA said that inventories are a 93non-issue 94 in the context of the contact group 92s work as no COP decisions require such updates and therefore the contact group should not address inventories."
252,EU,COSTA RICA,0,0,0,1,0,0,0,1,"The EU, COSTA RICA and ARGENTINA stressed the need to prioritize energy projects."
252,COSTA RICA,ARGENTINA,0,0,0,1,0,0,0,1,"The EU, COSTA RICA and ARGENTINA stressed the need to prioritize energy projects."
252,COSTA RICA,EU,0,0,0,1,0,0,0,1,"The EU, COSTA RICA and ARGENTINA stressed the need to prioritize energy projects."
252,EU,ARGENTINA,0,0,0,1,0,0,0,1,"The EU, COSTA RICA and ARGENTINA stressed the need to prioritize energy projects."
252,ARGENTINA,EU,0,0,0,1,0,0,0,1,"The EU, COSTA RICA and ARGENTINA stressed the need to prioritize energy projects."
252,ARGENTINA,COSTA RICA,0,0,0,1,0,0,0,1,"The EU, COSTA RICA and ARGENTINA stressed the need to prioritize energy projects."
252,US,JAPAN,0,1,0,0,0,0,0,1,"JAPAN, supported by the US, noted that the group did not need to produce a draft decision."
252,EU,US,0,0,0,1,0,0,0,1,"The EU, US and others suggested instead that the Co-Chairs draft a text based on input from all interested Parties and relevant documents."
252,US,EU,0,0,0,1,0,0,0,1,"The EU, US and others suggested instead that the Co-Chairs draft a text based on input from all interested Parties and relevant documents."
