issue_number,country 1,country 2,behalf,support,spokewith,agreement,delay,opposition,criticism,cooperation,sentence
255,EU,AUSTRALIA,0,0,1,0,0,1,"The EU, AUSTRALIA, and other Parties stated that the draft decision could not be discussed until consensus on the draft conclusions is reached.",55,164
255,AUSTRALIA,EU,0,0,1,0,0,1,"The EU, AUSTRALIA, and other Parties stated that the draft decision could not be discussed until consensus on the draft conclusions is reached.",164,55
255,NORWAY,DENMARK,0,0,1,0,0,1,"NORWAY, with DENMARK, supported less frequent consideration of agenda items that do not require action at each session.",186,8
255,DENMARK,NORWAY,0,0,1,0,0,1,"NORWAY, with DENMARK, supported less frequent consideration of agenda items that do not require action at each session.",8,186
255,G-77/CHINA,CANADA,0,0,0,1,0,0," The US and CANADA, opposed by the G-77/CHINA, indicated willingness to accept a Co-Chairs 92 draft text.",144,43
255,G-77/CHINA,US,0,0,0,1,0,0," The US and CANADA, opposed by the G-77/CHINA, indicated willingness to accept a Co-Chairs 92 draft text.",144,123
255,US,CANADA,0,0,1,0,0,1," The US and CANADA, opposed by the G-77/CHINA, indicated willingness to accept a Co-Chairs 92 draft text.",123,43
255,CANADA,US,0,0,1,0,0,1," The US and CANADA, opposed by the G-77/CHINA, indicated willingness to accept a Co-Chairs 92 draft text.",43,123
255,JAPAN,BRAZIL,0,0,0,1,0,0,"BRAZIL, opposed by JAPAN, said EB meetings should be closed, except on occasions where there are no confidential decisions being taken.",133,194
255,AOSIS,NORWAY,0,0,0,1,0,0,"AUSTRALIA, with the EU, NEW ZEALAND, NORWAY, JAPAN and SWITZERLAND supported the text, while AOSIS and other Parties expressed reservations on several matters, including a proposed open-ended dialogue.",182,186
255,AOSIS,NEW ZEALAND,0,0,0,1,0,0,"AUSTRALIA, with the EU, NEW ZEALAND, NORWAY, JAPAN and SWITZERLAND supported the text, while AOSIS and other Parties expressed reservations on several matters, including a proposed open-ended dialogue.",182,205
